[Imports]
nth vaddr      bind   type   lib name
―――――――――――――――――――――――――――――――――――――
371 0x00409528 GLOBAL FUNC       sym.imp.cv::Mat::Mat(cv::Mat&&)
374 0x00409538 GLOBAL FUNC       __cxa_atexit
375 0x00409548 GLOBAL FUNC       sym.imp.Json::Value::operator[](int) const
376 0x00470300 GLOBAL FUNC       pthread_create
377 0x00409568 GLOBAL FUNC       sym.imp.std::__cxx11::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >::~basic_ostringstream()
378 0x00409578 GLOBAL FUNC       sym.imp.Log::Push(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
379 0x00409588 GLOBAL FUNC       __moddi3
383 0x00409598 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned int, unsigned int, char const*, unsigned int)
384 0x004095a8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(char const*) const
385 0x004095b8 GLOBAL FUNC       sym.imp.AI_Engine::init(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
387 0x004095c8 GLOBAL FUNC       sym.imp.std::basic_filebuf<char, std::char_traits<char> >::~basic_filebuf()
388 0x004095d8 GLOBAL FUNC       strcpy
389 0x004095e8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned int)
390 0x004095f8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
393 0x00409608 GLOBAL FUNC       sym.imp.Json::Value::isObject() const
395 0x00409618 GLOBAL FUNC       pthread_self
400 0x00409628 GLOBAL FUNC       nanosleep
402 0x00409638 GLOBAL FUNC       v4l2_h264_decoder_work_release
406 0x00409648 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::find(char, unsigned int) const
407 0x00409658 GLOBAL FUNC       sym.imp.cv::Mat::clone() const
411 0x00409668 GLOBAL FUNC       sym.imp.std::condition_variable::notify_all()
416 0x00409678 GLOBAL FUNC       signal
419 0x00409688 GLOBAL FUNC       __dynamic_cast
420 0x00409698 GLOBAL FUNC       sym.imp.std::basic_filebuf<char, std::char_traits<char> >::open(char const*, std::_Ios_Openmode)
421 0x004096a8 GLOBAL FUNC       sym.imp.Json::StreamWriterBuilder::~StreamWriterBuilder()
424 0x004096b8 GLOBAL FUNC       sym.imp.std::_Rb_tree_increment(std::_Rb_tree_node_base*)
428 0x004096c8 GLOBAL FUNC       sym.imp.cv::Mat::operator=(cv::Mat const&)
430 0x004096d8 GLOBAL FUNC       malloc
432 0x004096e8 GLOBAL FUNC       sym.imp.std::ios_base::ios_base()
433 0x004096f8 GLOBAL FUNC       sym.imp.std::locale::~locale()
434 0x00409708 GLOBAL FUNC       tcgetattr
437 0x00409718 GLOBAL FUNC       sym.imp.Json::Value::asString[abi:cxx11]() const
438 0x00409728 GLOBAL FUNC       sym.imp.std::basic_ostream<char, std::char_traits<char> >& std::endl<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&)
439 0x00409738 GLOBAL FUNC       sym.imp.std::ios_base::Init::Init()
441 0x00000000 WEAK   NOTYPE     _ITM_registerTMCloneTable
