
Relocation section '.rel.dyn' at offset 0x2780 contains 4 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
00000000  00000000 R_MIPS_NONE      
004b1cd0  0000527e R_MIPS_COPY       004b1cd0   stdout@GLIBC_2.0
004b1794  0000967f R_MIPS_JUMP_SLOT  00000000   regcomp@GLIBC_2.0
004b1798  0000977f R_MIPS_JUMP_SLOT  00000000   sqlite3_exec
004b179c  0000987f R_MIPS_JUMP_SLOT  00000000   strcasecmp@GLIBC_2.0
004b17a0  0000997f R_MIPS_JUMP_SLOT  00000000   epoll_ctl@GLIBC_2.3.2
004b17a4  00009c7f R_MIPS_JUMP_SLOT  00000000   strcspn@GLIBC_2.0
004b17a8  00009d7f R_MIPS_JUMP_SLOT  00000000   opendir@GLIBC_2.0
004b17ac  00009e7f R_MIPS_JUMP_SLOT  00000000   sqlite3_step
004b17b0  00009f7f R_MIPS_JUMP_SLOT  00000000   pthread_join@GLIBC_2.0
004b17b4  0000a07f R_MIPS_JUMP_SLOT  00000000   closedir@GLIBC_2.0
004b17b8  0000a17f R_MIPS_JUMP_SLOT  00000000   png_get_color_type@PNG16_0
004b17bc  0000a27f R_MIPS_JUMP_SLOT  00000000   timer_create@GLIBC_2.2
004b17c0  0000a37f R_MIPS_JUMP_SLOT  00000000   SHA256_Update@OPENSSL_1_1_0
004b17c4  0000a47f R_MIPS_JUMP_SLOT  00000000   printf@GLIBC_2.0
004b17c8  0000a57f R_MIPS_JUMP_SLOT  00000000   dirname@GLIBC_2.0
004b17cc  0000a67f R_MIPS_JUMP_SLOT  00000000   strerror@GLIBC_2.0
004b17d0  0000a77f R_MIPS_JUMP_SLOT  00000000   uname@GLIBC_2.0
004b17d4  0000a87f R_MIPS_JUMP_SLOT  00000000   zip_close
004b17d8  0000aa7f R_MIPS_JUMP_SLOT  00000000   pthread_cond_timedwait@GLIBC_2.3.2
004b17dc  0000ab7f R_MIPS_JUMP_SLOT  00000000   getpeername@GLIBC_2.0
004b17e0  0000ac7f R_MIPS_JUMP_SLOT  00000000   regfree@GLIBC_2.0
004b17e4  0000ad7f R_MIPS_JUMP_SLOT  00000000   feof@GLIBC_2.0
004b17e8  0000ae7f R_MIPS_JUMP_SLOT  00000000   strtok@GLIBC_2.0
004b17ec  0000af7f R_MIPS_JUMP_SLOT  00000000   puts@GLIBC_2.0
004b17f0  0000b07f R_MIPS_JUMP_SLOT  00000000   strtoll@GLIBC_2.0
004b17f4  0000b17f R_MIPS_JUMP_SLOT  00000000   execl@GLIBC_2.0
004b17f8  0000b27f R_MIPS_JUMP_SLOT  00000000   getpwuid@GLIBC_2.0
004b17fc  0000b37f R_MIPS_JUMP_SLOT  00000000   atoi@GLIBC_2.0
004b1800  0000b47f R_MIPS_JUMP_SLOT  00000000   sendto@GLIBC_2.0
004b1804  0000b57f R_MIPS_JUMP_SLOT  00000000   pthread_rwlock_unlock@GLIBC_2.2
004b1808  0000b67f R_MIPS_JUMP_SLOT  00000000   timer_settime@GLIBC_2.2
004b180c  0000b77f R_MIPS_JUMP_SLOT  00000000   popen@GLIBC_2.2
004b1810  0000b87f R_MIPS_JUMP_SLOT  00000000   difftime@GLIBC_2.0
004b1814  0000b97f R_MIPS_JUMP_SLOT  00000000   png_set_IHDR@PNG16_0
004b1818  0000ba7f R_MIPS_JUMP_SLOT  00000000   memset@GLIBC_2.0
004b181c  0000bb7f R_MIPS_JUMP_SLOT  00000000   putchar@GLIBC_2.0
004b1820  0000bc7f R_MIPS_JUMP_SLOT  00000000   zip_open
004b1824  0000bd7f R_MIPS_JUMP_SLOT  00000000   pthread_self@GLIBC_2.0
004b1828  0000be7f R_MIPS_JUMP_SLOT  00000000   sqlite3_finalize
004b182c  0000bf7f R_MIPS_JUMP_SLOT  00000000   qsort_r@GLIBC_2.8
004b1830  0000c07f R_MIPS_JUMP_SLOT  00000000   strftime@GLIBC_2.0
004b1834  0000c17f R_MIPS_JUMP_SLOT  00000000   recv@GLIBC_2.0
004b1838  0000c27f R_MIPS_JUMP_SLOT  00000000   remove@GLIBC_2.0
004b183c  0000c37f R_MIPS_JUMP_SLOT  00000000   listen@GLIBC_2.0
004b1840  0000c47f R_MIPS_JUMP_SLOT  00000000   snprintf@GLIBC_2.0
004b1844  0000c57f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_trylock@GLIBC_2.0
004b1848  0000c67f R_MIPS_JUMP_SLOT  00000000   SHA256_Init@OPENSSL_1_1_0
004b184c  0000c77f R_MIPS_JUMP_SLOT  00000000   close@GLIBC_2.0
004b1850  0000c87f R_MIPS_JUMP_SLOT  00000000   dup2@GLIBC_2.0
004b1854  0000c97f R_MIPS_JUMP_SLOT  00000000   read@GLIBC_2.0
004b1858  0000cb7f R_MIPS_JUMP_SLOT  00000000   sqlite3_config
004b185c  0000cc7f R_MIPS_JUMP_SLOT  00000000   sqlite3_open
004b1860  0000cd7f R_MIPS_JUMP_SLOT  00000000   abort@GLIBC_2.0
004b1864  0000ce7f R_MIPS_JUMP_SLOT  00000000   png_create_info_struct@PNG16_0
004b1868  0000d07f R_MIPS_JUMP_SLOT  00000000   vfprintf@GLIBC_2.0
004b186c  0000d17f R_MIPS_JUMP_SLOT  00000000   sqlite3_column_count
004b1870  0000d27f R_MIPS_JUMP_SLOT  00000000   inotify_init@GLIBC_2.4
004b1874  0000d37f R_MIPS_JUMP_SLOT  00000000   memmove@GLIBC_2.0
004b1878  0000d47f R_MIPS_JUMP_SLOT  00000000   pthread_attr_init@GLIBC_2.2
004b187c  0000d57f R_MIPS_JUMP_SLOT  00000000   zip_dir_add
004b1880  0000d67f R_MIPS_JUMP_SLOT  00000000   rmdir@GLIBC_2.0
004b1884  0000d77f R_MIPS_JUMP_SLOT  00000000   unlink@GLIBC_2.0
004b1888  0000d87f R_MIPS_JUMP_SLOT  00000000   kill@GLIBC_2.0
004b188c  0000d97f R_MIPS_JUMP_SLOT  00000000   png_init_io@PNG16_0
004b1890  0000da7f R_MIPS_JUMP_SLOT  00000000   system@GLIBC_2.0
004b1894  0000db7f R_MIPS_JUMP_SLOT  00000000   pthread_attr_setd[...]@GLIBC_2.0
004b1898  0000dc7f R_MIPS_JUMP_SLOT  00000000   strcpy@GLIBC_2.0
004b189c  0000dd7f R_MIPS_JUMP_SLOT  00000000   localtime@GLIBC_2.0
004b18a0  0000df7f R_MIPS_JUMP_SLOT  00000000   pthread_cond_destroy@GLIBC_2.3.2
004b18a4  0000e07f R_MIPS_JUMP_SLOT  00000000   strtod@GLIBC_2.0
004b18a8  0000e17f R_MIPS_JUMP_SLOT  00000000   png_get_image_height@PNG16_0
004b18ac  0000e27f R_MIPS_JUMP_SLOT  004a1510   realloc@GLIBC_2.0
004b18b0  0000e37f R_MIPS_JUMP_SLOT  00000000   bind@GLIBC_2.0
004b18b4  0000e47f R_MIPS_JUMP_SLOT  00000000   ftell@GLIBC_2.0
004b18b8  0000e57f R_MIPS_JUMP_SLOT  00000000   timer_delete@GLIBC_2.2
