[Strings]
nth  paddr      vaddr      len size section type    string
139  0x000906c8 0x004906c8 18  19   .rodata ascii   WEBSERVER_LOG_PATH
140  0x000906dc 0x004906dc 14  15   .rodata ascii   %s/logs/%s.log
141  0x000906ec 0x004906ec 8   17   .rodata utf8    数据目录: %s blocks=CJK Unified Ideographs,Basic Latin
142  0x00090700 0x00490700 42  43   .rodata ascii   Unable to create data path folder at '%s'.
143  0x0009072c 0x0049072c 9   10   .rodata ascii   data_path
144  0x00090738 0x00490738 4   5    .rodata ascii   true
145  0x00090740 0x00490740 5   6    .rodata ascii   false
146  0x00090748 0x00490748 20  21   .rodata ascii   is_default_data_path
147  0x00090760 0x00490760 11  12   .rodata ascii   config_path
148  0x0009076c 0x0049076c 16  17   .rodata ascii   startup_warnings
149  0x00090784 0x00490784 23  24   .rodata ascii   Invalid UUID length: %d
150  0x0009079c 0x0049079c 13  14   .rodata ascii   instance_uuid
151  0x000907ac 0x004907ac 16  17   .rodata ascii   unix_socket_path
152  0x000907c0 0x004907c0 11  12   .rodata ascii   launch_args
153  0x000908a8 0x004908a8 8   9    .rodata ascii   datapath
154  0x000908b4 0x004908b4 10  11   .rodata ascii   configfile
155  0x000908c0 0x004908c0 7   8    .rodata ascii   logfile
156  0x000908c8 0x004908c8 10  11   .rodata ascii   unixsocket
157  0x000908d4 0x004908d4 5   6    .rodata ascii   nolog
158  0x000908dc 0x004908dc 5   6    .rodata ascii   debug
159  0x000908e4 0x004908e4 4   5    .rodata ascii   help
160  0x000908f0 0x004908f0 7   8    .rodata ascii   0.0.0.0
161  0x000908f8 0x004908f8 4   5    .rodata ascii   7125
162  0x00090900 0x00490900 26  27   .rodata ascii   Server or app_args is NULL
163  0x0009091c 0x0049091c 121 122  .rodata ascii   /var/jenkins_home/workspace/IngenicX2600-security-build/integrated_platform/creality/output/build/nexusprime/src/server.c
164  0x00090998 0x00490998 6   7    .rodata ascii   server
165  0x000909a0 0x004909a0 34  35   .rodata ascii   No section [server] in config file
166  0x000909c4 0x004909c4 4   5    .rodata ascii   host
167  0x000909cc 0x004909cc 4   5    .rodata ascii   port
168  0x000909d4 0x004909d4 9   10   .rodata ascii   data_path
169  0x000909e0 0x004909e0 13  14   .rodata ascii   max_send_size
170  0x000909f0 0x004909f0 13  14   .rodata ascii   max_recv_size
171  0x00090a00 0x00490a00 13  14   .rodata ascii   mem_threshold
172  0x00090a10 0x00490a10 50  51   .rodata ascii   Memory monitoring is enabled with threshold %lu MB
173  0x00090a44 0x00490a44 58  59   .rodata ascii   Memory monitor was already working or threshold is too low
174  0x00090a80 0x00490a80 44  45   .rodata ascii   Failed to allocate memory for server manager
175  0x00090ab0 0x00490ab0 18  19   .rodata ascii   Server initialized
176  0x00090ac4 0x00490ac4 11  12   .rodata ascii   server.info
177  0x00090ad0 0x00490ad0 13  14   .rodata ascii   server.config
178  0x00090ae0 0x00490ae0 14  15   .rodata ascii   server.restart
179  0x00090af0 0x00490af0 13  14   .rodata ascii   server.umount
180  0x00090b00 0x00490b00 26  27   .rodata ascii   server.connection.identify
181  0x00090b1c 0x00490b1c 12  13   .rodata ascii   server.debug
182  0x00090b2c 0x00490b2c 19  20   .rodata ascii   server.debug.status
183  0x00090b40 0x00490b40 19  20   .rodata ascii   server:klippy_ready
184  0x00090b54 0x00490b54 22  23   .rodata ascii   server:klippy_shutdown
185  0x00090b6c 0x00490b6c 26  27   .rodata ascii   server:klippy_disconnected
186  0x00090b88 0x00490b88 21  22   .rodata ascii   server:gcode_response
187  0x00090ba0 0x00490ba0 14  15   .rodata ascii   Server is NULL
188  0x00090bb0 0x00490bb0 36  37   .rodata ascii   Failed to allocate memory for Klippy
189  0x00090bd8 0x00490bd8 6   7    .rodata ascii   klippy
190  0x00090be0 0x00490be0 23  24   .rodata ascii   Klippy component loaded
191  0x00090bf8 0x00490bf8 21  22   .rodata ascii   Klippy thread started
192  0x00090c10 0x00490c10 27  28   .rodata ascii   Failed to initialize Klippy
193  0x00090c2c 0x00490c2c 23  24   .rodata ascii   server:component_loaded
194  0x00090c44 0x00490c44 24  25   .rodata ascii   Server components loaded
195  0x00090c60 0x00490c60 12  13   .rodata ascii   http://%s:%s
196  0x00090c70 0x00490c70 20  21   .rodata ascii   Failed to create URL
197  0x00090c88 0x00490c88 20  21   .rodata ascii   Cannot listen on %s.
198  0x00090ca0 0x00490ca0 16  17   .rodata ascii   %s version : v%s
199  0x00090cb4 0x00490cb4 5   6    .rodata ascii   0.1.1
200  0x00090cbc 0x00490cbc 6   7    .rodata ascii   nexusp
201  0x00090cc4 0x00490cc4 22  23   .rodata ascii   HTTP listener     : %s
202  0x00090cdc 0x00490cdc 21  22   .rodata ascii   Server cannot be NULL
203  0x00090cf4 0x00490cf4 23  24   .rodata ascii   Server Shutting down...
204  0x00090d0c 0x00490d0c 15  16   .rodata ascii   server:shutdown
205  0x00090d1c 0x00490d1c 26  27   .rodata ascii   Server components unloaded
206  0x00090d38 0x00490d38 19  20   .rodata ascii   Server config freed
207  0x00090d4c 0x00490d4c 20  21   .rodata ascii   Server manager freed
208  0x00090d64 0x00490d64 24  25   .rodata ascii   Server shutdown complete
209  0x00090d80 0x00490d80 8   9    .rodata ascii   database
210  0x00090d8c 0x00490d8c 25  26   .rodata ascii   Database component loaded
211  0x00090da8 0x00490da8 39  40   .rodata ascii   Failed to initialize Database component
212  0x00090dd0 0x00490dd0 12  13   .rodata ascii   file_manager
213  0x00090de0 0x00490de0 29  30   .rodata ascii   File Manager component loaded
214  0x00090e00 0x00490e00 43  44   .rodata ascii   Failed to initialize File Manager component
215  0x00090e2c 0x00490e2c 13  14   .rodata ascii   authorization
216  0x00090e3c 0x00490e3c 30  31   .rodata ascii   Authorization component loaded
217  0x00090e5c 0x00490e5c 44  45   .rodata ascii   Failed to initialize Authorization component
218  0x00090e8c 0x00490e8c 10  11   .rodata ascii   klippy_api
219  0x00090e98 0x00490e98 27  28   .rodata ascii   Klippy API component loaded
220  0x00090eb4 0x00490eb4 41  42   .rodata ascii   Failed to initialize Klippy API component
221  0x00090ee0 0x00490ee0 7   8    .rodata ascii   machine
222  0x00090ee8 0x00490ee8 24  25   .rodata ascii   Machine component loaded
223  0x00090f04 0x00490f04 38  39   .rodata ascii   Failed to initialize Machine component
224  0x00090f2c 0x00490f2c 10  11   .rodata ascii   data_store
225  0x00090f38 0x00490f38 27  28   .rodata ascii   Data Store component loaded
226  0x00090f54 0x00490f54 41  42   .rodata ascii   Failed to initialize Data Store component
227  0x00090f80 0x00490f80 10  11   .rodata ascii   proc_stats
228  0x00090f8c 0x00490f8c 27  28   .rodata ascii   Proc Stats component loaded
229  0x00090fa8 0x00490fa8 41  42   .rodata ascii   Failed to initialize Proc Stats component
230  0x00090fd4 0x00490fd4 9   10   .rodata ascii   job_state
231  0x00090fe0 0x00490fe0 26  27   .rodata ascii   Job State component loaded
232  0x00090ffc 0x00490ffc 40  41   .rodata ascii   Failed to initialize Job State component
233  0x00091028 0x00491028 9   10   .rodata ascii   job_queue
234  0x00091034 0x00491034 26  27   .rodata ascii   Job Queue component loaded
235  0x00091050 0x00491050 40  41   .rodata ascii   Failed to initialize Job Queue component
236  0x0009107c 0x0049107c 7   8    .rodata ascii   history
237  0x00091084 0x00491084 24  25   .rodata ascii   History component loaded
238  0x000910a0 0x004910a0 38  39   .rodata ascii   Failed to initialize History component
239  0x000910c8 0x004910c8 24  25   .rodata ascii   Database component freed
240  0x000910e4 0x004910e4 28  29   .rodata ascii   File Manager component freed
241  0x00091104 0x00491104 29  30   .rodata ascii   Authorization component freed
242  0x00091124 0x00491124 26  27   .rodata ascii   Klippy API component freed
243  0x00091140 0x00491140 23  24   .rodata ascii   Machine component freed
244  0x00091158 0x00491158 26  27   .rodata ascii   Data Store component freed
245  0x00091174 0x00491174 26  27   .rodata ascii   Proc Stats component freed
246  0x00091190 0x00491190 25  26   .rodata ascii   Job State component freed
247  0x000911ac 0x004911ac 25  26   .rodata ascii   Job Queue component freed
248  0x000911c8 0x004911c8 23  24   .rodata ascii   History component freed
249  0x000911e0 0x004911e0 22  23   .rodata ascii   Klippy component freed
250  0x000911f8 0x004911f8 22  23   .rodata ascii   Component %s not found
251  0x00091210 0x00491210 39  40   .rodata ascii   Server or timer function cannot be NULL
252  0x00091238 0x00491238 20  21   .rodata ascii   Registering timer %p
253  0x00091250 0x00491250 30  31   .rodata ascii   Server or timer cannot be NULL
254  0x00091270 0x00491270 22  23   .rodata ascii   Unregistering timer %p
255  0x00091288 0x00491288 16  17   .rodata ascii   proc_stat_update
256  0x0009129c 0x0049129c 14  15   .rodata ascii   gcode_response
257  0x000912ac 0x004912ac 31  32   .rodata ascii   Sending event %s to all clients
258  0x000912cc 0x004912cc 55  56   .rodata ascii   {"jsonrpc": "2.0","method": "notify_%s","params": [%s]}
259  0x00091304 0x00491304 40  41   .rodata ascii   {"jsonrpc": "2.0","method": "notify_%s"}
260  0x00091330 0x00491330 33  34   .rodata ascii   Failed to send event %s to client
261  0x00091354 0x00491354 32  33   .rodata ascii   Registering event handler for %s
262  0x00091378 0x00491378 18  19   .rodata ascii   Event %s not found
263  0x00091390 0x00491390 40  41   .rodata ascii   Failed to allocate memory for warning ID
264  0x000913bc 0x004913bc 45  46   .rodata ascii   Failed to allocate memory for warning message
265  0x000913f0 0x004913f0 36  37   .rodata ascii   Failed to allocate memory for config
266  0x00091418 0x00491418 25  26   .rodata ascii   Server or request is NULL
267  0x00091434 0x00491434 5   6    .rodata ascii   "%s",
268  0x0009143c 0x0049143c 7   8    .rodata ascii   unknown
269  0x00091444 0x00491444 12  13   .rodata ascii   disconnected
270  0x00091454 0x00491454 7   8    .rodata ascii   startup
271  0x0009145c 0x0049145c 5   6    .rodata ascii   ready
272  0x00091464 0x00491464 5   6    .rodata ascii   error
273  0x0009146c 0x0049146c 8   9    .rodata ascii   shutdown
274  0x00091478 0x00491478 4   5    .rodata ascii   true
275  0x00091480 0x00491480 5   6    .rodata ascii   false
276  0x00091488 0x00491488 23  24   .rodata ascii   "klippy_connected": %s,
277  0x000914a0 0x004914a0 21  22   .rodata ascii   "klippy_state": "%s",
278  0x000914b8 0x004914b8 21  22   .rodata ascii   "components": [%.*s],
279  0x000914d0 0x004914d0 28  29   .rodata ascii   "failed_components": [%.*s],
280  0x000914f0 0x004914f0 82  83   .rodata ascii   "registered_directories": ["config", "logs", "gcodes", "config_examples", "docs"],
281  0x00091544 0x00491544 19  20   .rodata ascii   "warnings": [%.*s],
282  0x00091558 0x00491558 22  23   .rodata ascii   "websocket_count": %d,
283  0x00091570 0x00491570 20  21   .rodata ascii   "%s_version": "v%s",
284  0x00091588 0x00491588 34  35   .rodata ascii   "missing_klippy_requirements": [],
285  0x000915ac 0x004915ac 25  26   .rodata ascii   "api_version": [1, 4, 0],
286  0x000915c8 0x004915c8 29  30   .rodata ascii   "api_version_string": "1.4.0"
287  0x000915e8 0x004915e8 6   7    .rodata ascii   {%.*s}
288  0x00091604 0x00491604 60  61   .rodata ascii   {"config": {%s}, "orig": {"DEFAULT": {}, %s}, "files": [%s]}
289  0x00091644 0x00491644 4   5    .rodata ascii   "ok"
290  0x0009164c 0x0049164c 11  12   .rodata ascii   client_name
291  0x00091658 0x00491658 24  25   .rodata ascii   No data for argument: %s
292  0x00091674 0x00491674 4   5    .rodata ascii   type
293  0x0009167c 0x0049167c 7   8    .rodata ascii   version
294  0x0009168c 0x0049168c 6   7    .rodata ascii   mobile
295  0x00091694 0x00491694 7   8    .rodata ascii   desktop
296  0x0009169c 0x0049169c 7   8    .rodata ascii   display
297  0x000916a8 0x004916a8 5   6    .rodata ascii   agent
298  0x000916b0 0x004916b0 5   6    .rodata ascii   other
299  0x000916b8 0x004916b8 23  24   .rodata ascii   Invalid Client Type: %s
300  0x000916d0 0x004916d0 65  66   .rodata ascii   Websocket %lu Client Identified - Name: %s, Version: %s, Type: %s
301  0x00091714 0x00491714 22  23   .rodata ascii   {"connection_id": %lu}
302  0x0009172c 0x0049172c 10  11   .rodata ascii   mount_path
303  0x00091738 0x00491738 22  23   .rodata ascii   Unsupported mount_path
304  0x00091750 0x00491750 14  15   .rodata ascii   umount -l "%s"
